id,date,state_name,state_code,region,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy
0,28-05-2020,All India,99,None,323.73,131.64,40.7,496.07
1,28-05-2020,Andhra Pradesh,28,Southern Region,29.95,9.23,0,39.18
2,28-05-2020,Arunachal Pradesh,12,North-Eastern Region,0,0,0,0
3,28-05-2020,Assam,18,North-Eastern Region,0,0,0,0
4,28-05-2020,Bihar,10,Eastern Region,0,0,0.59,0.59
5,28-05-2020,Chandigarh,4,Northern Region,0,0,0,0
6,28-05-2020,Chhattisgarh,22,Western Region,0,0.2,0,0.2
7,28-05-2020,Delhi,7,Northern Region,0,0,0.62,0.62
8,28-05-2020,Goa,30,Western Region,0,0,0,0
9,28-05-2020,Gujarat,24,Western Region,94.7,11.1,0.3,106.1
10,28-05-2020,Haryana,6,Northern Region,0,0.14,0.42,0.56
11,28-05-2020,Himachal Pradesh,2,Northern Region,0,0,10.43,10.43
12,28-05-2020,Jammu And Kashmir,1,Northern Region,0,0,0,0
13,28-05-2020,Jharkhand,20,Eastern Region,0,0,0,0
14,28-05-2020,Karnataka,29,Southern Region,27.87,28.96,5.87,62.7
15,28-05-2020,Kerala,32,Southern Region,0.54,0.39,0,0.93
16,28-05-2020,Madhya Pradesh,23,Western Region,37.8,8.8,0.2,46.8
17,28-05-2020,Maharashtra,27,Western Region,41.9,8.3,0,50.2
18,28-05-2020,Manipur,14,North-Eastern Region,0,0,0,0
19,28-05-2020,Meghalaya,17,North-Eastern Region,0,0,0,0
20,28-05-2020,Mizoram,15,North-Eastern Region,0,0,0,0
21,28-05-2020,Nagaland,13,North-Eastern Region,0,0,0,0
22,28-05-2020,Odisha,21,Eastern Region,0,0,1.39,1.39
23,28-05-2020,Puducherry,34,Southern Region,0,0,0,0
24,28-05-2020,Punjab,3,Northern Region,0,3.41,3.32,6.73
25,28-05-2020,Rajasthan,8,Northern Region,55.63,17.75,4.82,78.2
26,28-05-2020,Sikkim,11,Eastern Region,0,0,0,0
27,28-05-2020,Tamil Nadu,33,Southern Region,34.65,14.93,0,49.58
28,28-05-2020,Telangana,36,Southern Region,0.69,22.29,0,22.98
29,28-05-2020,The Dadra And Nagar Haveli And Daman And Diu,38,Western Region,0,0,0,0
30,28-05-2020,Tripura,16,North-Eastern Region,0,0,0,0
31,28-05-2020,Uttar Pradesh,9,Northern Region,0,5.4,9.6,15
32,28-05-2020,Uttarakhand,5,Northern Region,0,0.74,0.26,1
33,28-05-2020,West Bengal,19,Eastern Region,0,0,2.88,2.88
34,29-05-2020,All India,99,None,296.78,128.75,23.41,448.94
35,29-05-2020,Andhra Pradesh,28,Southern Region,32.23,9.83,0,42.06
36,29-05-2020,Arunachal Pradesh,12,North-Eastern Region,0,0,0,0
37,29-05-2020,Assam,18,North-Eastern Region,0,0,0,0
38,29-05-2020,Bihar,10,Eastern Region,0,0,0.62,0.62
39,29-05-2020,Chandigarh,4,Northern Region,0,0,0,0
40,29-05-2020,Chhattisgarh,22,Western Region,0,1,0,1
41,29-05-2020,Delhi,7,Northern Region,0,0,0,0
42,29-05-2020,Goa,30,Western Region,0,0,0,0
43,29-05-2020,Gujarat,24,Western Region,88.3,10.7,0.2,99.2
44,29-05-2020,Haryana,6,Northern Region,0,0.12,0,0.12
45,29-05-2020,Himachal Pradesh,2,Northern Region,0,0,9.77,9.77
46,29-05-2020,Jammu And Kashmir,1,Northern Region,0,0,0,0
47,29-05-2020,Jharkhand,20,Eastern Region,0,0,0,0
48,29-05-2020,Karnataka,29,Southern Region,27.13,31.4,3.48,62.01
49,29-05-2020,Kerala,32,Southern Region,0.35,0.35,0,0.7
50,29-05-2020,Madhya Pradesh,23,Western Region,30.6,8.5,0.2,39.3
51,29-05-2020,Maharashtra,27,Western Region,36.8,8,0,44.8
52,29-05-2020,Manipur,14,North-Eastern Region,0,0,0,0
53,29-05-2020,Meghalaya,17,North-Eastern Region,0,0,0,0
54,29-05-2020,Mizoram,15,North-Eastern Region,0,0,0,0
55,29-05-2020,Nagaland,13,North-Eastern Region,0,0,0,0
56,29-05-2020,Odisha,21,Eastern Region,0,0,1.37,1.37
57,29-05-2020,Puducherry,34,Southern Region,0,0,0,0
58,29-05-2020,Punjab,3,Northern Region,0,2.53,3.32,5.85
59,29-05-2020,Rajasthan,8,Northern Region,55.33,18.15,0.94,74.42
60,29-05-2020,Sikkim,11,Eastern Region,0,0,0,0
